plant_number,plant_name,compound_name,molecular_weight,logP,h_bond_donors,h_bond_acceptors,tpsa,rotatable_bonds,rule_of_5_violations,drug_like_lipinski,smiles,inchikey,doi
1,Ficus virens,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",464.38,-0.54,8,12,210.51,4,2,False,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O)O,OVSQVDMCBVZWGM-LVWULRLVSA-N,10.21608/BFSA.2001.65755
1,Ficus virens,6-Hydroxykaempferol,302.24,1.99,5,7,131.36,1,0,True,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O,LFPHMXIOQBBTSS-UHFFFAOYSA-N,10.21608/BFSA.2001.65755
1,Ficus virens,Astragalin,448.38,-0.24,7,11,190.28,4,2,False,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,JPUKWEQWGBDDQB-QSOFNFLRSA-N,10.21608/BFSA.2001.65755
1,Ficus virens,bergapten,216.19,2.55,0,4,52.58,1,0,True,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,BGEBZHIAGXMEMV-UHFFFAOYSA-N,10.21608/BFSA.2001.65755
1,Ficus virens,rutin,610.52,-1.69,10,16,269.43,6,3,False,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,IKGXIBQEEMLURG-NVPNHPEKSA-N,10.21608/BFSA.2001.65755
1,Ficus virens,α-amyrin,426.73,8.02,1,1,20.23,0,1,True,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C,FSLPMRQHCOLESF-SFMCKYFRSA-N,10.21608/BFSA.2001.65755
2,Pterocaulon sphacelatum,chrysosplenol C,360.32,2.6,3,8,118.59,4,0,True,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)O)O)OC)O,QQBSPLCHDUCBNM-UHFFFAOYSA-N,10.1016/S0378-8741(99)00050-1
2,Pterocaulon sphacelatum,scoparone,206.2,1.81,0,4,48.67,2,0,True,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,GUAFOGOEJLSQBT-UHFFFAOYSA-N,10.1071/CH9683079
5,Asparagus racemosus,Q104923644,887.07,0.29,9,17,255.91,8,3,False,C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)C)OC1,BCUDKRWNGQAFLF-JJBOIPSVSA-N,10.1016/J.PHYTOCHEM.2007.09.001
5,Asparagus racemosus,Q104947783,871.07,1.32,8,16,235.68,7,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)O)O)C)C)C)OC1,BWYAGTYHXROECV-XGYRUUDGSA-N,10.1016/J.PHYTOCHEM.2006.04.005
5,Asparagus racemosus,Q104994305,1019.19,-1.24,11,21,314.83,10,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C)C)C)OC1,FFAHEGKVGQPZOA-SMBQCMAVSA-N,10.1248/CPB.57.890
5,Asparagus racemosus,Q105018681,885.05,0.21,9,17,255.91,8,3,False,C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC[C@H]5[C@@]4(CC[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)O[C@]19CCC(=C)CO9,GTHFQEMYVCDXKR-CSZPLYFWSA-N,10.1016/J.PHYTOCHEM.2007.09.001
5,Asparagus racemosus,Q105036278,740.93,1.44,7,13,196.99,6,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@H]4CC[C@H]5[C@H]([C@@]4(C[C@@H]3O2)C)CC[C@@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)C)C)OC1,IATIAUOAJIFOSI-XVTUODIHSA-N,10.1016/J.PHYTOCHEM.2007.09.001
5,Asparagus racemosus,Q105117639,857.04,0.93,8,16,235.68,7,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O)C)C)C)OC1,IQBHARDQXOLZQB-RUFDCJACSA-N,10.1248/CPB.57.890
5,Asparagus racemosus,Q105192473,903.07,-0.73,10,18,276.14,9,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)C)OC1,OIFAMCXLOMUUDR-MHNXLVLQSA-N,10.1016/J.PHYTOCHEM.2007.09.001
5,Asparagus racemosus,Q105225314,929.11,0.86,8,18,261.98,9,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)COC(=O)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C)OC1,QPCXNOOIVSKVLM-KCROQFHVSA-N,10.1016/J.PHYTOCHEM.2007.09.001
5,Asparagus racemosus,Q105254598,1049.21,-1.88,12,22,335.06,11,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)O)O)O)O)O)C)C)C)OC1,SJWPDTJDCFSPLW-BFCHINECSA-N,10.1016/J.PHYTOCHEM.2006.04.005
5,Asparagus racemosus,Q105287894,1035.18,-2.27,12,22,335.06,11,3,False,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C)C)C)OC1,VKNRADZYHBOXMI-KMPGLCLVSA-N,10.1016/J.PHYTOCHEM.2007.09.001
5,Asparagus racemosus,Q105350165,1067.23,-2.93,14,23,366.29,15,3,False,C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC[C@H]5[C@@]4(CC[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)C)C)O[C@@]1(CC[C@H](C)CO[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)O)O,YLKFQDKSCLMOGF-ORYOMQHWSA-N,10.1016/J.PHYTOCHEM.2007.09.001
5,Asparagus racemosus,"(22R,25R)-1beta,2beta,3beta-Trihydroxy-21-norspirosta-4-ene-19-oic acid",462.58,2.47,4,6,116.45,1,0,True,C[C@@H]1CC[C@@]2(C[C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CCC6=C[C@H]([C@H]([C@H]([C@]56C(=O)O)O)O)O)C)OC1,PCCYKZMWMSQXBK-WBBNHULHSA-N,10.1016/J.STEROIDS.2010.12.006
